Timestamp,You find it easy to introduce yourself to other people.,"A logical decision is always the best, even when it hurts someone’s feelings.",You try to respond to your e-mails as soon as possible and cannot stand a messy inbox.,You strongly dislike phone calls.,You find it easy to stay relaxed and focused even when there is some pressure.,You often get so lost in thoughts that you ignore or forget your surroundings.,Deadlines do not stress you out.,Being adaptable is more important to you than being organized.,Emotional movies can easily make you sad.,Your home and work environments are quite tidy.,You often feel as if you have to justify yourself to other people.,You like to leave matters undecided for as long as possible as there may be better options down the road.,You do not mind being at the center of attention.,You would rather call yourself pragmatic than visionary.,You rarely get mood swings.,Your travel plans are usually well thought out.,You find it difficult to start talking when you do not yet know how exactly you will present your idea.,Your mood can change very quickly.,You are more of a natural improviser than a careful planner.,"If you had to choose, you would rather have your work reflect your values than your reasoning skills.",Your work style is closer to random energy spikes than to a methodical and organized approach.,You are often envious of others.,An interesting book or a video game is often better than a social event.,Being able to develop a plan and stick to it is the most important part of every project.,Ideas are often more important than real things.,"When someone is in trouble, you usually start by offering emotional support rather than practical solutions.","If someone does not respond to your e-mail quickly, you start worrying if you said something wrong.","You do not let your emotions show, even when you are with close friends.",It is a challenge for you to look at criticism objectively.,Your dreams tend to be vivid and focus on a fictional world.,It does not take you much time to start getting involved in social activities at your new workplace.,You are better at implementing than innovating.,It is easy to irritate you.,You worry too much about what other people think.,You often spend time exploring unrealistic and impractical yet intriguing ideas,"You do not mind being criticized, even harshly, if the arguments make sense.","When solving problems, you look for tried and tested methods instead of experimenting with novel ideas.",You would rather improvise than spend time coming up with a detailed plan.,You often spend more time reflecting on things than actually doing them.,You believe that moral positions are often more important than what makes logical sense.,Keeping your options open is more important than having a to-do list.,You would rather work in a team than alone.,You rarely feel insecure.,You have no difficulties coming up with a personal timetable and sticking to it.,Being efficient is more important than being cooperative when it comes to teamwork.,"When making plans, you often get lost in possibilities and forget what is realistic.",You feel more energetic after spending time with a group of people.,"When making a decision affecting other people, you would rather be seen as illogical than as unsympathetic.",You see yourself as very emotionally stable.,You cannot stand chaos.,You are more traditional than unconventional.,"You like to isolate yourself from your surroundings when you work, e.g. by wearing headphones.",It is difficult for you to hide your feelings.,You are a relatively reserved and quiet person.,"If the room is full, you stay closer to the walls, avoiding the center.","Politically, you are more conservative than liberal.",You feel very anxious in stressful situations.,You focus on the possibilities rather than the realities.,You think that there is little point in being empathic in a professional environment.,You often take initiative in social situations.
2/19/2015 16:50:18,1,6,6,7,2,4,1,7,2,3,3,5,3,4,3,7,7,4,4,2,7,7,4,4,2,2,4,6,5,3,5,6,5,7,4,3,5,3,6,1,4,2,2,1,3,5,2,3,5,6,6,5,1,6,6,4,5,6,2,2
2/19/2015 17:33:34,3,5,4,3,5,6,5,4,3,3,5,5,5,4,6,6,3,3,4,3,6,2,5,3,5,3,3,4,2,2,2,3,3,3,6,6,3,4,5,3,4,3,5,5,5,3,4,3,6,5,4,3,6,5,4,3,3,5,4,5
2/19/2015 22:42:44,5,6,7,4,6,7,3,7,4,6,4,5,2,6,7,5,6,2,5,3,2,1,6,6,6,5,1,5,2,2,6,6,2,2,2,6,5,3,2,7,5,4,7,5,6,6,4,2,7,7,6,6,2,5,6,4,5,6,6,4
2/20/2015 15:17:02,3,6,3,3,6,6,5,7,4,2,2,5,2,4,7,5,2,2,4,6,2,2,7,2,6,3,2,5,3,4,3,5,1,2,5,5,5,3,3,6,6,3,6,2,2,3,1,2,6,1,5,4,2,7,6,5,3,4,2,3
2/20/2015 22:06:27,3,5,6,7,5,4,2,5,3,2,5,1,2,5,3,6,6,4,2,3,2,5,5,6,3,4,5,6,7,3,2,5,4,5,3,1,4,3,2,2,2,2,3,7,3,5,1,3,5,3,3,6,3,5,4,2,5,3,3,3
2/23/2015 14:37:56,2,6,6,6,2,6,2,6,6,1,6,2,2,6,6,6,2,2,2,2,6,6,6,2,2,2,2,2,6,2,2,6,4,6,2,2,6,6,2,2,2,6,2,2,2,2,6,2,6,2,6,6,2,6,6,2,6,2,2,2
2/23/2015 14:44:34,5,5,2,2,6,6,4,6,3,4,2,5,2,5,4,5,6,5,5,3,2,5,7,5,3,4,2,3,3,5,2,5,4,2,5,5,4,5,3,3,5,1,5,5,5,3,2,3,5,3,5,5,3,6,5,5,5,5,6,3
2/23/2015 14:51:40,5,2,3,3,5,5,5,5,5,5,5,6,5,3,3,4,3,5,5,4,6,5,5,4,6,6,5,3,4,5,3,3,3,5,5,4,4,5,5,6,5,5,3,3,3,3,5,6,3,4,3,5,4,3,5,2,3,5,2,5
2/23/2015 15:02:42,2,2,6,1,6,6,6,7,7,3,6,2,7,7,2,3,1,6,7,7,6,3,6,3,3,7,3,2,2,7,6,6,6,6,7,7,3,6,7,6,3,7,2,2,2,1,7,7,5,3,2,5,7,2,3,1,5,2,1,7
2/23/2015 18:46:51,7,6,5,1,6,4,4,6,2,7,1,2,7,4,1,4,6,4,4,7,7,1,1,5,4,5,1,7,6,6,4,4,5,1,2,4,2,5,4,6,4,6,7,6,5,5,7,4,7,5,6,2,5,5,4,6,1,5,1,6
2/23/2015 18:55:04,6,6,6,1,6,2,7,6,2,7,1,2,6,2,3,7,5,6,5,7,2,1,1,6,6,5,1,1,5,5,3,2,6,1,5,5,2,5,2,7,6,6,7,6,3,2,6,5,7,5,7,1,5,5,5,6,1,6,1,6
2/23/2015 19:11:47,7,7,3,4,7,6,5,5,1,6,2,5,4,6,6,6,6,6,4,5,5,1,4,6,6,4,4,4,4,4,4,5,4,1,2,6,6,5,5,4,4,7,7,4,4,4,4,4,6,6,2,2,6,3,1,6,1,4,4,4
2/23/2015 19:15:29,3,7,7,7,2,2,3,6,3,3,3,2,3,3,6,3,3,2,2,2,2,1,7,6,6,5,6,3,6,6,2,4,6,6,6,4,5,6,5,5,6,3,6,6,6,6,5,6,4,4,7,2,3,3,3,3,6,6,3,3
2/23/2015 20:00:32,5,3,7,5,5,3,5,1,7,7,5,3,3,7,5,3,7,5,2,5,1,2,3,5,1,5,3,3,3,5,3,7,3,6,3,5,5,6,3,3,1,3,3,6,5,2,7,1,7,7,7,2,2,5,3,7,6,3,2,3
2/23/2015 20:23:51,4,3,4,3,2,1,3,3,2,3,1,1,2,3,4,2,3,1,3,3,3,1,1,3,2,1,1,2,2,2,3,3,2,2,1,2,3,3,1,3,3,3,3,3,2,2,3,2,3,3,4,1,2,3,2,2,3,2,2,2
